target_end_date,location,target,observation
2020-02-15,18,cum death,0
2020-02-15,19,cum death,0
2020-02-15,20,cum death,0
2020-02-15,21,cum death,0
2020-02-15,22,cum death,0
2020-02-15,23,cum death,0
2020-02-15,24,cum death,0
2020-02-15,25,cum death,0
2020-02-15,26,cum death,0
2020-02-15,27,cum death,0
2020-02-15,28,cum death,0
2020-02-15,29,cum death,0
2020-02-15,30,cum death,0
2020-02-15,31,cum death,0
2020-02-15,32,cum death,0
2020-02-15,33,cum death,0
2020-02-15,34,cum death,0
2020-02-15,35,cum death,0
2020-02-15,36,cum death,0
2020-02-15,37,cum death,0
2020-02-15,38,cum death,0
2020-02-15,39,cum death,1
2020-02-15,40,cum death,0
2020-02-15,41,cum death,0
2020-02-15,42,cum death,0
2020-02-15,44,cum death,0
2020-02-15,45,cum death,0
2020-02-15,46,cum death,0
2020-02-15,47,cum death,0
2020-02-15,48,cum death,0
2020-02-15,49,cum death,0
2020-02-15,50,cum death,0
2020-02-15,51,cum death,0
2020-02-15,53,cum death,0
2020-02-15,54,cum death,0
2020-02-15,55,cum death,0
2020-02-15,56,cum death,0
2020-02-15,60,cum death,0
2020-02-15,66,cum death,0
2020-02-15,69,cum death,0
2020-02-15,72,cum death,0
2020-02-15,78,cum death,0
2020-02-15,US,cum death,1
2020-02-22,01,cum death,0
2020-02-22,02,cum death,0
2020-02-22,04,cum death,0
2020-02-22,05,cum death,0
2020-02-22,06,cum death,0
2020-02-22,08,cum death,0
2020-02-22,09,cum death,0
2020-02-22,10,cum death,0
2020-02-22,11,cum death,0
2020-02-22,12,cum death,0
2020-02-22,13,cum death,0
2020-02-22,15,cum death,0
2020-02-22,16,cum death,0
2020-02-22,17,cum death,0
2020-02-22,18,cum death,0
2020-02-22,19,cum death,0
2020-02-22,20,cum death,0
2020-02-22,21,cum death,0
2020-02-22,22,cum death,0
2020-02-22,23,cum death,0
2020-02-22,24,cum death,0
2020-02-22,25,cum death,0
2020-02-22,26,cum death,0
2020-02-22,27,cum death,0
2020-02-22,28,cum death,0
2020-02-22,29,cum death,0
2020-02-22,30,cum death,0
2020-02-22,31,cum death,0
2020-02-22,32,cum death,0
2020-02-22,33,cum death,0
2020-02-22,34,cum death,0
2020-02-22,35,cum death,0
2020-02-22,36,cum death,0
2020-02-22,37,cum death,0
2020-02-22,38,cum death,0
2020-02-22,39,cum death,1
2020-02-22,40,cum death,0
2020-02-22,41,cum death,0
2020-02-22,42,cum death,0
2020-02-22,44,cum death,0
2020-02-22,45,cum death,0
2020-02-22,46,cum death,0
2020-02-22,47,cum death,0
2020-02-22,48,cum death,0
2020-02-22,49,cum death,0
2020-02-22,50,cum death,0
2020-02-22,51,cum death,0
2020-02-22,53,cum death,0
2020-02-22,54,cum death,0
2020-02-22,55,cum death,0
2020-02-22,56,cum death,0
2020-02-22,60,cum death,0
2020-02-22,66,cum death,0
2020-02-22,69,cum death,0
2020-02-22,72,cum death,0
2020-02-22,78,cum death,0
2020-02-22,US,cum death,1
2020-02-29,01,cum death,0
2020-02-29,02,cum death,0
2020-02-29,04,cum death,0
2020-02-29,05,cum death,0
2020-02-29,06,cum death,0
2020-02-29,08,cum death,0
2020-02-29,09,cum death,0
2020-02-29,10,cum death,0
2020-02-29,11,cum death,0
2020-02-29,12,cum death,0
2020-02-29,13,cum death,0
2020-02-29,15,cum death,0
2020-02-29,16,cum death,0
2020-02-29,17,cum death,0
2020-02-29,18,cum death,0
2020-02-29,19,cum death,0
2020-02-29,20,cum death,0
2020-02-29,21,cum death,0
2020-02-29,22,cum death,0
2020-02-29,23,cum death,0
2020-02-29,24,cum death,0
2020-02-29,25,cum death,0
2020-02-29,26,cum death,0
2020-02-29,27,cum death,0
2020-02-29,28,cum death,0
2020-02-29,29,cum death,0
2020-02-29,30,cum death,0
2020-02-29,31,cum death,0
2020-02-29,32,cum death,0
2020-02-29,33,cum death,0
2020-02-29,34,cum death,0
2020-02-29,35,cum death,0
2020-02-29,36,cum death,0
2020-02-29,37,cum death,0
2020-02-29,38,cum death,0
2020-02-29,39,cum death,1
2020-02-29,40,cum death,0
2020-02-29,41,cum death,0
2020-02-29,42,cum death,0
2020-02-29,44,cum death,0
2020-02-29,45,cum death,0
2020-02-29,46,cum death,0
2020-02-29,47,cum death,0
2020-02-29,48,cum death,0
2020-02-29,49,cum death,0
2020-02-29,50,cum death,0
2020-02-29,51,cum death,0
2020-02-29,53,cum death,1
2020-02-29,54,cum death,0
2020-02-29,55,cum death,0
2020-02-29,56,cum death,0
2020-02-29,60,cum death,0
2020-02-29,66,cum death,0
2020-02-29,69,cum death,0
2020-02-29,72,cum death,0
2020-02-29,78,cum death,0
2020-02-29,US,cum death,2
2020-03-07,01,cum death,0
2020-03-07,02,cum death,0
2020-03-07,04,cum death,0
2020-03-07,05,cum death,0
2020-03-07,06,cum death,1
2020-03-07,08,cum death,0
2020-03-07,09,cum death,0
2020-03-07,10,cum death,0
2020-03-07,11,cum death,0
2020-03-07,12,cum death,0
2020-03-07,13,cum death,0
2020-03-07,15,cum death,0
2020-03-07,16,cum death,0
2020-03-07,17,cum death,0
2020-03-07,18,cum death,0
2020-03-07,19,cum death,0
2020-03-07,20,cum death,0
2020-03-07,21,cum death,0
2020-03-07,22,cum death,0
2020-03-07,23,cum death,0
2020-03-07,24,cum death,0
2020-03-07,25,cum death,0
2020-03-07,26,cum death,0
2020-03-07,27,cum death,0
2020-03-07,28,cum death,0
2020-03-07,29,cum death,0
2020-03-07,30,cum death,0
2020-03-07,31,cum death,0
2020-03-07,32,cum death,0
2020-03-07,33,cum death,0
2020-03-07,34,cum death,0
2020-03-07,35,cum death,0
2020-03-07,36,cum death,0
2020-03-07,37,cum death,0
2020-03-07,38,cum death,0
2020-03-07,39,cum death,1
2020-03-07,40,cum death,0
2020-03-07,41,cum death,0
2020-03-07,42,cum death,0
2020-03-07,44,cum death,0
2020-03-07,45,cum death,0
2020-03-07,46,cum death,0
2020-03-07,47,cum death,0
2020-03-07,48,cum death,0
2020-03-07,49,cum death,0
2020-03-07,50,cum death,0
2020-03-07,51,cum death,0
2020-03-07,53,cum death,16
2020-03-07,54,cum death,0
2020-03-07,55,cum death,0
2020-03-07,56,cum death,0
2020-03-07,60,cum death,0
2020-03-07,66,cum death,0
2020-03-07,69,cum death,0
2020-03-07,72,cum death,0
2020-03-07,78,cum death,0
2020-03-07,US,cum death,18
2020-03-14,01,cum death,0
2020-03-14,02,cum death,0
2020-03-14,04,cum death,0
2020-03-14,05,cum death,0
2020-03-14,06,cum death,5
2020-03-14,08,cum death,2
2020-03-14,09,cum death,0
2020-03-14,10,cum death,0
2020-03-14,11,cum death,0
2020-03-14,12,cum death,2
2020-03-14,13,cum death,1
2020-03-14,15,cum death,0
2020-03-14,16,cum death,0
2020-03-14,17,cum death,0
2020-03-14,18,cum death,0
2020-03-14,19,cum death,0
2020-03-14,20,cum death,1
2020-03-14,21,cum death,0
2020-03-14,22,cum death,1
2020-03-14,23,cum death,0
2020-03-14,24,cum death,0
2020-03-14,25,cum death,0
2020-03-14,26,cum death,1
2020-03-14,27,cum death,0
2020-03-14,28,cum death,0
2020-03-14,29,cum death,0
2020-03-14,30,cum death,0
2020-03-14,31,cum death,0
2020-03-14,32,cum death,0
2020-03-14,33,cum death,0
2020-03-14,34,cum death,1
2020-03-14,35,cum death,0
2020-03-14,36,cum death,5
2020-03-14,37,cum death,0
2020-03-14,38,cum death,0
2020-03-14,39,cum death,1
2020-03-14,40,cum death,0
2020-03-14,41,cum death,0
2020-03-14,42,cum death,0
2020-03-14,44,cum death,0
2020-03-14,45,cum death,0
2020-03-14,46,cum death,1
2020-03-14,47,cum death,0
2020-03-14,48,cum death,0
2020-03-14,49,cum death,0
2020-03-14,50,cum death,0
2020-03-14,51,cum death,1
2020-03-14,53,cum death,39
2020-03-14,54,cum death,0
2020-03-14,55,cum death,0
2020-03-14,56,cum death,0
2020-03-14,60,cum death,0
2020-03-14,66,cum death,0
2020-03-14,69,cum death,0
2020-03-14,72,cum death,0
2020-03-14,78,cum death,0
2020-03-14,US,cum death,61
2020-03-21,01,cum death,0
2020-03-21,02,cum death,0
2020-03-21,04,cum death,1
2020-03-21,05,cum death,0
2020-03-21,06,cum death,26
2020-03-21,08,cum death,6
2020-03-21,09,cum death,4
2020-03-21,10,cum death,0
2020-03-21,11,cum death,0
2020-03-21,12,cum death,13
2020-03-21,13,cum death,20
2020-03-21,15,cum death,0
2020-03-21,16,cum death,0
2020-03-21,17,cum death,6
2020-03-21,18,cum death,13
2020-03-21,19,cum death,0
2020-03-21,20,cum death,2
2020-03-21,21,cum death,3
2020-03-21,22,cum death,20
2020-03-21,23,cum death,0
2020-03-21,24,cum death,2
2020-03-21,25,cum death,1
2020-03-21,26,cum death,6
2020-03-21,27,cum death,1
2020-03-21,28,cum death,1
2020-03-21,29,cum death,3
2020-03-21,30,cum death,0
2020-03-21,31,cum death,0
2020-03-21,32,cum death,2
2020-03-21,33,cum death,0
2020-03-21,34,cum death,22
2020-03-21,35,cum death,0
2020-03-21,36,cum death,195
2020-03-21,37,cum death,0
2020-03-21,38,cum death,0
2020-03-21,39,cum death,9
2020-03-21,40,cum death,1
2020-03-21,41,cum death,4
2020-03-21,42,cum death,2
2020-03-21,44,cum death,1
2020-03-21,45,cum death,3
2020-03-21,46,cum death,1
2020-03-21,47,cum death,1
2020-03-21,48,cum death,8
2020-03-21,49,cum death,0
2020-03-21,50,cum death,2
2020-03-21,51,cum death,3
2020-03-21,53,cum death,94
2020-03-21,54,cum death,0
2020-03-21,55,cum death,4
2020-03-21,56,cum death,0
2020-03-21,60,cum death,0
2020-03-21,66,cum death,0
2020-03-21,69,cum death,0
2020-03-21,72,cum death,1
2020-03-21,78,cum death,0
2020-03-21,US,cum death,482
2020-03-28,01,cum death,4
2020-03-28,02,cum death,2
2020-03-28,04,cum death,15
2020-03-28,05,cum death,5
2020-03-28,06,cum death,188
2020-03-28,08,cum death,44
2020-03-28,09,cum death,33
2020-03-28,10,cum death,0
2020-03-28,11,cum death,4
2020-03-28,12,cum death,54
2020-03-28,13,cum death,69
2020-03-28,15,cum death,0
2020-03-28,16,cum death,4
2020-03-28,17,cum death,47
2020-03-28,18,cum death,58
2020-03-28,19,cum death,3
2020-03-28,20,cum death,5
2020-03-28,21,cum death,9
2020-03-28,22,cum death,137
2020-03-28,23,cum death,1
2020-03-28,24,cum death,5
2020-03-28,25,cum death,44
2020-03-28,26,cum death,130
2020-03-28,27,cum death,5
2020-03-28,28,cum death,13
2020-03-28,29,cum death,13
2020-03-28,30,cum death,1
2020-03-28,31,cum death,2
2020-03-28,32,cum death,10
2020-03-28,33,cum death,2
2020-03-28,34,cum death,192
2020-03-28,35,cum death,1
2020-03-28,36,cum death,1484
2020-03-28,37,cum death,5
2020-03-28,38,cum death,1
2020-03-28,39,cum death,51
2020-03-28,40,cum death,15
2020-03-28,41,cum death,13
2020-03-28,42,cum death,34
2020-03-28,44,cum death,4
2020-03-28,45,cum death,15
2020-03-28,46,cum death,1
2020-03-28,47,cum death,7
2020-03-28,48,cum death,45
2020-03-28,49,cum death,1
2020-03-28,50,cum death,12
2020-03-28,51,cum death,13
2020-03-28,53,cum death,188
2020-03-28,54,cum death,0
2020-03-28,55,cum death,22
2020-03-28,56,cum death,0
2020-03-28,60,cum death,0
2020-03-28,66,cum death,1
2020-03-28,69,cum death,0
2020-03-28,72,cum death,3
2020-03-28,78,cum death,0
2020-03-28,US,cum death,3018
2020-04-04,01,cum death,44
2020-04-04,02,cum death,5
2020-04-04,04,cum death,52
2020-04-04,05,cum death,14
2020-04-04,06,cum death,292
2020-04-04,08,cum death,539
2020-04-04,09,cum death,165
2020-04-04,10,cum death,17
2020-04-04,11,cum death,21
2020-04-04,12,cum death,195
2020-04-04,13,cum death,201
2020-04-04,15,cum death,3
2020-04-04,16,cum death,10
2020-04-04,17,cum death,244
2020-04-04,18,cum death,213
2020-04-04,19,cum death,14
2020-04-04,20,cum death,18
2020-04-04,21,cum death,40
2020-04-04,22,cum death,409
2020-04-04,23,cum death,10
2020-04-04,24,cum death,54
2020-04-04,25,cum death,216
2020-04-04,26,cum death,585
2020-04-04,27,cum death,24
2020-04-04,28,cum death,35
2020-04-04,29,cum death,51
2020-04-04,30,cum death,6
2020-04-04,31,cum death,6
2020-04-04,32,cum death,46
2020-04-04,33,cum death,7
2020-04-04,34,cum death,1059
2020-04-04,35,cum death,11
2020-04-04,36,cum death,5688
2020-04-04,37,cum death,34
2020-04-04,38,cum death,3
2020-04-04,39,cum death,167
2020-04-04,40,cum death,42
2020-04-04,41,cum death,22
2020-04-04,42,cum death,142
2020-04-04,44,cum death,28
2020-04-04,45,cum death,40
2020-04-04,46,cum death,2
2020-04-04,47,cum death,43
2020-04-04,48,cum death,164
2020-04-04,49,cum death,8
2020-04-04,50,cum death,20
2020-04-04,51,cum death,52
2020-04-04,53,cum death,398
2020-04-04,54,cum death,2
2020-04-04,55,cum death,102
2020-04-04,56,cum death,0
2020-04-04,60,cum death,0
2020-04-04,66,cum death,4
2020-04-04,69,cum death,1
2020-04-04,72,cum death,18
2020-04-04,78,cum death,0
2020-04-04,US,cum death,11589
2020-04-11,01,cum death,92
2020-04-11,02,cum death,8
2020-04-11,04,cum death,117
2020-04-11,05,cum death,25
2020-04-11,06,cum death,599
2020-04-11,08,cum death,774
2020-04-11,09,cum death,494
2020-04-11,10,cum death,44
2020-04-11,11,cum death,47
2020-04-11,12,cum death,438
2020-04-11,13,cum death,429
2020-04-11,15,cum death,8
2020-04-11,16,cum death,25
2020-04-11,17,cum death,677
2020-04-11,18,cum death,419
2020-04-11,19,cum death,34
2020-04-11,20,cum death,52
2020-04-11,21,cum death,90
2020-04-11,22,cum death,806
2020-04-11,23,cum death,19
2020-04-11,24,cum death,206
2020-04-11,25,cum death,686
2020-04-11,26,cum death,1487
2020-04-11,27,cum death,64
2020-04-11,28,cum death,93
2020-04-11,29,cum death,145
2020-04-11,30,cum death,6
2020-04-11,31,cum death,17
2020-04-11,32,cum death,102
2020-04-11,33,cum death,22
2020-04-11,34,cum death,2854
2020-04-11,35,cum death,19
2020-04-11,36,cum death,12751
2020-04-11,37,cum death,89
2020-04-11,38,cum death,7
2020-04-11,39,cum death,332
2020-04-11,40,cum death,94
2020-04-11,41,cum death,48
2020-04-11,42,cum death,517
2020-04-11,44,cum death,82
2020-04-11,45,cum death,80
2020-04-11,46,cum death,6
2020-04-11,47,cum death,101
2020-04-11,48,cum death,335
2020-04-11,49,cum death,18
2020-04-11,50,cum death,25
2020-04-11,51,cum death,130
2020-04-11,53,cum death,547
2020-04-11,54,cum death,5
2020-04-11,55,cum death,177
2020-04-11,56,cum death,0
2020-04-11,60,cum death,0
2020-04-11,66,cum death,5
2020-04-11,69,cum death,2
2020-04-11,72,cum death,42
2020-04-11,78,cum death,1
2020-04-11,US,cum death,26295
2020-04-18,01,cum death,153
2020-04-18,02,cum death,9
2020-04-18,04,cum death,180
2020-04-18,05,cum death,38
2020-04-18,06,cum death,1127
2020-04-18,08,cum death,968
2020-04-18,09,cum death,1086
2020-04-18,10,cum death,87
2020-04-18,11,cum death,91
2020-04-18,12,cum death,748
2020-04-18,13,cum death,673
2020-04-18,15,cum death,9
2020-04-18,16,cum death,43
2020-04-18,17,cum death,1259
2020-04-18,18,cum death,665
2020-04-18,19,cum death,74
2020-04-18,20,cum death,86
2020-04-18,21,cum death,144
2020-04-18,22,cum death,1267
2020-04-18,23,cum death,32
2020-04-18,24,cum death,421
2020-04-18,25,cum death,1404
2020-04-18,26,cum death,2460
2020-04-18,27,cum death,121
2020-04-18,28,cum death,152
2020-04-18,29,cum death,236
2020-04-18,30,cum death,10
2020-04-18,31,cum death,24
2020-04-18,32,cum death,151
2020-04-18,33,cum death,38
2020-04-18,34,cum death,5169
2020-04-18,35,cum death,53
2020-04-18,36,cum death,18138
2020-04-18,37,cum death,187
2020-04-18,38,cum death,9
2020-04-18,39,cum death,587
2020-04-18,40,cum death,136
2020-04-18,41,cum death,72
2020-04-18,42,cum death,1081
2020-04-18,44,cum death,175
2020-04-18,45,cum death,119
2020-04-18,46,cum death,7
2020-04-18,47,cum death,145
2020-04-18,48,cum death,563
2020-04-18,49,cum death,25
2020-04-18,50,cum death,38
2020-04-18,51,cum death,258
2020-04-18,53,cum death,666
2020-04-18,54,cum death,16
2020-04-18,55,cum death,249
2020-04-18,56,cum death,2
2020-04-18,60,cum death,0
2020-04-18,66,cum death,5
2020-04-18,69,cum death,2
2020-04-18,72,cum death,60
2020-04-18,78,cum death,3
2020-04-18,US,cum death,41521
2020-04-25,01,cum death,209
2020-04-25,02,cum death,9
2020-04-25,04,cum death,273
2020-04-25,05,cum death,48
2020-04-25,06,cum death,1662
2020-04-25,08,cum death,1172
2020-04-25,09,cum death,1865
2020-04-25,10,cum death,157
2020-04-25,11,cum death,165
2020-04-25,12,cum death,1055
2020-04-25,13,cum death,907
2020-04-25,15,cum death,13
2020-04-25,16,cum death,56
2020-04-25,17,cum death,1875
2020-04-25,18,cum death,958
2020-04-25,19,cum death,112
2020-04-25,20,cum death,120
2020-04-25,21,cum death,205
2020-04-25,22,cum death,1707
2020-04-25,23,cum death,47
2020-04-25,24,cum death,875
2020-04-25,25,cum death,2730
2020-04-25,26,cum death,3339
2020-04-25,27,cum death,244
2020-04-25,28,cum death,221
2020-04-25,29,cum death,357
2020-04-25,30,cum death,14
2020-04-25,31,cum death,50
2020-04-25,32,cum death,205
2020-04-25,33,cum death,53
2020-04-25,34,cum death,7274
2020-04-25,35,cum death,93
2020-04-25,36,cum death,22429
2020-04-25,37,cum death,305
2020-04-25,38,cum death,16
2020-04-25,39,cum death,861
2020-04-25,40,cum death,194
2020-04-25,41,cum death,87
2020-04-25,42,cum death,1845
2020-04-25,44,cum death,276
2020-04-25,45,cum death,166
2020-04-25,46,cum death,10
2020-04-25,47,cum death,178
2020-04-25,48,cum death,765
2020-04-25,49,cum death,41
2020-04-25,50,cum death,46
2020-04-25,51,cum death,437
2020-04-25,53,cum death,779
2020-04-25,54,cum death,32
2020-04-25,55,cum death,299
2020-04-25,56,cum death,7
2020-04-25,60,cum death,0
2020-04-25,66,cum death,5
2020-04-25,69,cum death,2
2020-04-25,72,cum death,83
2020-04-25,78,cum death,3
2020-04-25,US,cum death,56939
2020-05-02,01,cum death,288
2020-05-02,02,cum death,9
2020-05-02,04,cum death,330
2020-05-02,05,cum death,72
2020-05-02,06,cum death,2159
2020-05-02,08,cum death,1278
2020-05-02,09,cum death,2436
2020-05-02,10,cum death,236
2020-05-02,11,cum death,240
2020-05-02,12,cum death,1364
2020-05-02,13,cum death,1177
2020-05-02,15,cum death,16
2020-05-02,16,cum death,64
2020-05-02,17,cum death,2559
2020-05-02,18,cum death,1242
2020-05-02,19,cum death,175
2020-05-02,20,cum death,142
2020-05-02,21,cum death,248
2020-05-02,22,cum death,1993
2020-05-02,23,cum death,56
2020-05-02,24,cum death,1251
2020-05-02,25,cum death,3846
2020-05-02,26,cum death,4224
2020-05-02,27,cum death,394
2020-05-02,28,cum death,291
2020-05-02,29,cum death,473
2020-05-02,30,cum death,16
2020-05-02,31,cum death,73
2020-05-02,32,cum death,255
2020-05-02,33,cum death,84
2020-05-02,34,cum death,9302
2020-05-02,35,cum death,138
2020-05-02,36,cum death,25093
2020-05-02,37,cum death,431
2020-05-02,38,cum death,24
2020-05-02,39,cum death,1174
2020-05-02,40,cum death,238
2020-05-02,41,cum death,109
2020-05-02,42,cum death,2753
2020-05-02,44,cum death,402
2020-05-02,45,cum death,267
2020-05-02,46,cum death,21
2020-05-02,47,cum death,209
2020-05-02,48,cum death,1020
2020-05-02,49,cum death,49
2020-05-02,50,cum death,51
2020-05-02,51,cum death,617
2020-05-02,53,cum death,862
2020-05-02,54,cum death,48
2020-05-02,55,cum death,374
2020-05-02,56,cum death,7
2020-05-02,60,cum death,0
2020-05-02,66,cum death,5
2020-05-02,69,cum death,2
2020-05-02,72,cum death,95
2020-05-02,78,cum death,4
2020-05-02,US,cum death,70289
2020-05-09,01,cum death,390
2020-05-09,02,cum death,10
2020-05-09,04,cum death,532
2020-05-09,05,cum death,88
2020-05-09,06,cum death,2674
2020-05-09,08,cum death,1376
2020-05-09,09,cum death,2932
2020-05-09,10,cum death,305
2020-05-09,11,cum death,311
2020-05-09,12,cum death,1715
2020-05-09,13,cum death,1403
2020-05-09,15,cum death,17
2020-05-09,16,cum death,67
2020-05-09,17,cum death,3349
2020-05-09,18,cum death,1495
2020-05-09,19,cum death,252
2020-05-09,20,cum death,174
2020-05-09,21,cum death,304
2020-05-09,22,cum death,2267
2020-05-09,23,cum death,64
2020-05-09,24,cum death,1614
2020-05-09,25,cum death,4840
2020-05-09,26,cum death,4757
2020-05-09,27,cum death,558
2020-05-09,28,cum death,421
2020-05-09,29,cum death,598
2020-05-09,30,cum death,16
2020-05-09,31,cum death,90
2020-05-09,32,cum death,313
2020-05-09,33,cum death,131
2020-05-09,34,cum death,10805
2020-05-09,35,cum death,191
2020-05-09,36,cum death,27341
2020-05-09,37,cum death,551
2020-05-09,38,cum death,35
2020-05-09,39,cum death,1445
2020-05-09,40,cum death,270
2020-05-09,41,cum death,127
2020-05-09,42,cum death,3809
2020-05-09,44,cum death,536
2020-05-09,45,cum death,330
2020-05-09,46,cum death,34
2020-05-09,47,cum death,242
2020-05-09,48,cum death,1210
2020-05-09,49,cum death,66
2020-05-09,50,cum death,53
2020-05-09,51,cum death,827
2020-05-09,53,cum death,952
2020-05-09,54,cum death,52
2020-05-09,55,cum death,434
2020-05-09,56,cum death,7
2020-05-09,60,cum death,0
2020-05-09,66,cum death,5
2020-05-09,69,cum death,2
2020-05-09,72,cum death,108
2020-05-09,78,cum death,4
2020-05-09,US,cum death,82502
2020-05-16,01,cum death,485
2020-05-16,02,cum death,10
2020-05-16,04,cum death,679
2020-05-16,05,cum death,98
2020-05-16,06,cum death,3193
2020-05-16,08,cum death,1487
2020-05-16,09,cum death,3339
2020-05-16,10,cum death,388
2020-05-16,11,cum death,375
2020-05-16,12,cum death,1964
2020-05-16,13,cum death,1598
2020-05-16,15,cum death,17
2020-05-16,16,cum death,73
