file,ok,n_failed,elapsed_sec,first_error
BPagano-RtDriven/2021-01-17-BPagano-RtDriven.parquet,TRUE,0,13.228190183639526,NA
CEID-Walk/2022-04-18-CEID-Walk.parquet,TRUE,0,10.257236957550049,NA
CMU-TimeSeries/2022-08-22-CMU-TimeSeries.parquet,TRUE,0,36.056633710861206,NA
CovidAnalytics-DELPHI/2020-04-30-CovidAnalytics-DELPHI.parquet,TRUE,0,4.162426233291626,NA
COVIDhub_CDC-ensemble/2021-12-20-COVIDhub_CDC-ensemble.parquet,TRUE,0,176.40015625953674,NA
COVIDhub-4_week_ensemble/2021-10-18-COVIDhub-4_week_ensemble.parquet,TRUE,0,328.5623571872711,NA
COVIDhub-baseline/2021-07-26-COVIDhub-baseline.parquet,TRUE,0,636.6233415603638,NA
COVIDhub-ensemble/2021-05-10-COVIDhub-ensemble.parquet,TRUE,0,317.51957607269287,NA
COVIDhub-trained_ensemble/2022-02-07-COVIDhub-trained_ensemble.parquet,TRUE,0,317.14631509780884,NA
CU-nochange/2021-07-04-CU-nochange.parquet,TRUE,0,459.19424843788147,NA
CU-scenario_low/2020-07-02-CU-scenario_low.parquet,TRUE,0,5.3746302127838135,NA
CU-scenario_mid/2020-10-29-CU-scenario_mid.parquet,TRUE,0,469.50782895088196,NA
CU-select/2021-03-14-CU-select.parquet,TRUE,0,458.2518734931946,NA
CUBoulder-COVIDLSTM/2022-05-08-CUBoulder-COVIDLSTM.parquet,TRUE,0,270.81326365470886,NA
epiforecasts-ensemble1/2021-05-17-epiforecasts-ensemble1.parquet,TRUE,0,6.948554277420044,NA
FAIR-NRAR/2021-06-14-FAIR-NRAR.parquet,TRUE,0,294.64318227767944,NA
FRBSF_Wilson-Econometric/2021-07-26-FRBSF_Wilson-Econometric.parquet,TRUE,0,145.17858338356018,NA
GT_CHHS-COVID19/2020-08-16-GT_CHHS-COVID19.parquet,TRUE,0,3.0604677200317383,NA
HKUST-DNN/2021-12-06-HKUST-DNN.parquet,TRUE,0,4.990417242050171,NA
IHME-CurveFit/2020-08-27-IHME-CurveFit.parquet,TRUE,0,158.91850566864014,NA
JCB-PRM/2020-08-24-JCB-PRM.parquet,TRUE,0,3.965019464492798,NA
JHU_IDD-CovidSP/2022-11-20-JHU_IDD-CovidSP.parquet,TRUE,0,174.50957012176514,NA
JHUAPL-Bucky/2022-08-08-JHUAPL-Bucky.parquet,TRUE,0,572.0949366092682,NA
Karlen-pypm/2020-09-06-Karlen-pypm.parquet,TRUE,0,46.726956605911255,NA
KITmetricslab-select_ensemble/2022-11-28-KITmetricslab-select_ensemble.parquet,TRUE,0,11.489696264266968,NA
LosAlamos_NAU-CModel_SDVaxVar/2022-02-28-LosAlamos_NAU-CModel_SDVaxVar.parquet,TRUE,0,7.025660276412964,NA
MIT_CritData-GBCF/2021-10-03-MIT_CritData-GBCF.parquet,TRUE,0,7.222369432449341,NA
MIT-Cassandra/2022-06-13-MIT-Cassandra.parquet,TRUE,0,13.02144455909729,NA
MOBS-GLEAM_COVID/2023-03-13-MOBS-GLEAM_COVID.parquet,TRUE,0,18.29906725883484,NA
MUNI-VAR/2021-12-27-MUNI-VAR.parquet,TRUE,0,10.672479629516602,NA
prolix-euclidean/2022-01-20-prolix-euclidean.parquet,TRUE,0,6.782168865203857,NA
PSI-DRAFT/2020-12-07-PSI-DRAFT.parquet,TRUE,0,9.541279792785645,NA
QJHong-Encounter/2022-04-24-QJHong-Encounter.parquet,TRUE,0,3.541761636734009,NA
SDSC_ISG-TrendModel/2021-11-28-SDSC_ISG-TrendModel.parquet,TRUE,0,2.8447086811065674,NA
SteveMcConnell-CovidComplete/2021-11-08-SteveMcConnell-CovidComplete.parquet,TRUE,0,7.486137390136719,NA
TTU-squider/2022-08-07-TTU-squider.parquet,TRUE,0,4.857652425765991,NA
UCF-AEM/2022-11-27-UCF-AEM.parquet,TRUE,0,3.4315240383148193,NA
UCSD_NEU-DeepGLEAM/2021-03-22-UCSD_NEU-DeepGLEAM.parquet,TRUE,0,6.773937225341797,NA
UMass-MechBayes/2020-12-20-UMass-MechBayes.parquet,TRUE,0,96.90414619445801,NA
UMass-trends_ensemble/2022-09-26-UMass-trends_ensemble.parquet,TRUE,0,34.07927966117859,NA
USACE-ERDC_SEIR/2020-07-01-USACE-ERDC_SEIR.parquet,TRUE,0,12.090335369110107,NA
UT-Mobility/2020-06-29-UT-Mobility.parquet,TRUE,0,5.476159334182739,NA
UVA-Ensemble/2021-11-01-UVA-Ensemble.parquet,TRUE,0,303.20605421066284,NA
YYG-ParamSearch/2020-07-03-YYG-ParamSearch.parquet,TRUE,0,13.68761658668518,NA
