file,ok,n_failed,elapsed_sec,first_error
BPagano-RtDriven/2020-11-15-BPagano-RtDriven.parquet,TRUE,0,28.721611261367798,NA
CEID-Walk/2021-08-16-CEID-Walk.parquet,TRUE,0,357.7184760570526,NA
CMU-TimeSeries/2022-06-20-CMU-TimeSeries.parquet,TRUE,0,37.67656636238098,NA
Covid19Sim-Simulator/2022-02-20-Covid19Sim-Simulator.parquet,TRUE,0,15.540074348449707,NA
COVIDhub_CDC-ensemble/2021-10-18-COVIDhub_CDC-ensemble.parquet,TRUE,0,352.36874556541443,NA
COVIDhub-4_week_ensemble/2021-08-16-COVIDhub-4_week_ensemble.parquet,TRUE,0,346.41388487815857,NA
COVIDhub-baseline/2021-05-24-COVIDhub-baseline.parquet,TRUE,0,683.7177720069885,NA
COVIDhub-ensemble/2021-03-08-COVIDhub-ensemble.parquet,TRUE,0,324.2499396800995,NA
COVIDhub-trained_ensemble/2021-12-06-COVIDhub-trained_ensemble.parquet,TRUE,0,340.4404182434082,NA
CU-nochange/2021-05-02-CU-nochange.parquet,TRUE,0,488.4268274307251,NA
CU-scenario_low/2020-05-31-CU-scenario_low.parquet,TRUE,0,3.8394508361816406,NA
CU-scenario_mid/2020-09-24-CU-scenario_mid.parquet,TRUE,0,484.1046073436737,NA
CU-select/2021-01-10-CU-select.parquet,TRUE,0,453.3808434009552,NA
CUBoulder-COVIDLSTM/2022-01-30-CUBoulder-COVIDLSTM.parquet,TRUE,0,280.43370938301086,NA
epiforecasts-ensemble1/2021-03-15-epiforecasts-ensemble1.parquet,TRUE,0,7.637917995452881,NA
FAIR-NRAR/2021-06-02-FAIR-NRAR.parquet,TRUE,0,286.8656196594238,NA
FRBSF_Wilson-Econometric/2021-05-24-FRBSF_Wilson-Econometric.parquet,TRUE,0,160.79068279266357,NA
GT_CHHS-COVID19/2020-06-14-GT_CHHS-COVID19.parquet,TRUE,0,2.164055824279785,NA
HKUST-DNN/2021-10-04-HKUST-DNN.parquet,TRUE,0,5.335397958755493,NA
IHME-CurveFit/2020-06-22-IHME-CurveFit.parquet,TRUE,0,21.656514644622803,NA
JBUD-HMXK/2022-05-08-JBUD-HMXK.parquet,TRUE,0,3.5594542026519775,NA
JHU_IDD-CovidSP/2022-08-15-JHU_IDD-CovidSP.parquet,TRUE,0,188.44143986701965,NA
JHUAPL-Bucky/2022-05-16-JHUAPL-Bucky.parquet,TRUE,0,703.5495328903198,NA
JHUAPLTDWG-ICATTML/2023-07-03-JHUAPLTDWG-ICATTML.parquet,TRUE,0,15.463121175765991,NA
KITmetricslab-select_ensemble/2022-09-26-KITmetricslab-select_ensemble.parquet,TRUE,0,14.442147731781006,NA
LosAlamos_NAU-CModel_SDVaxVar/2021-12-05-LosAlamos_NAU-CModel_SDVaxVar.parquet,TRUE,0,7.162914991378784,NA
MIT_CritData-GBCF/2021-07-18-MIT_CritData-GBCF.parquet,TRUE,0,8.397046566009521,NA
MIT-Cassandra/2022-04-04-MIT-Cassandra.parquet,TRUE,0,13.470568895339966,NA
MOBS-GLEAM_COVID/2023-01-09-MOBS-GLEAM_COVID.parquet,TRUE,0,39.432186126708984,NA
MUNI-ARIMA/2024-03-18-MUNI-ARIMA.parquet,TRUE,0,19.640008687973022,NA
prolix-euclidean/2022-01-10-prolix-euclidean.parquet,TRUE,0,2.469576597213745,NA
PSI-DRAFT/2020-10-05-PSI-DRAFT.parquet,TRUE,0,9.687526941299438,NA
QJHong-Encounter/2022-02-21-QJHong-Encounter.parquet,TRUE,0,3.490617275238037,NA
SDSC_ISG-TrendModel/2021-09-26-SDSC_ISG-TrendModel.parquet,TRUE,0,3.0080366134643555,NA
SteveMcConnell-CovidComplete/2021-09-06-SteveMcConnell-CovidComplete.parquet,TRUE,0,7.167577743530273,NA
TTU-squider/2022-06-05-TTU-squider.parquet,TRUE,0,4.863691091537476,NA
UCF-AEM/2022-08-14-UCF-AEM.parquet,TRUE,0,3.600882053375244,NA
UCSD_NEU-DeepGLEAM/2021-01-18-UCSD_NEU-DeepGLEAM.parquet,TRUE,0,6.9971020221710205,NA
UMass-MechBayes/2020-10-18-UMass-MechBayes.parquet,TRUE,0,54.17834806442261,NA
UMass-trends_ensemble/2022-07-25-UMass-trends_ensemble.parquet,TRUE,0,36.456517696380615,NA
USACE-ERDC_SEIR/2020-05-18-USACE-ERDC_SEIR.parquet,TRUE,0,7.073597431182861,NA
UT-Mobility/2020-04-27-UT-Mobility.parquet,TRUE,0,8.514523983001709,NA
UVA-Ensemble/2021-08-30-UVA-Ensemble.parquet,TRUE,0,372.56029057502747,NA
YYG-ParamSearch/2020-06-24-YYG-ParamSearch.parquet,TRUE,0,19.312663793563843,NA
