file,ok,n_failed,elapsed_sec,first_error
BPagano-RtDriven/2021-08-22-BPagano-RtDriven.parquet,TRUE,0,16.10772681236267,NA
CEPH-Rtrend_covid/2022-12-12-CEPH-Rtrend_covid.parquet,TRUE,0,34.897202014923096,NA
CMU-TimeSeries/2023-03-27-CMU-TimeSeries.parquet,TRUE,0,20.249542474746704,NA
CovidAnalytics-DELPHI/2020-11-30-CovidAnalytics-DELPHI.parquet,TRUE,0,16.484036207199097,NA
COVIDhub_CDC-ensemble/2022-07-25-COVIDhub_CDC-ensemble.parquet,TRUE,0,45.75669527053833,NA
COVIDhub-4_week_ensemble/2022-05-23-COVIDhub-4_week_ensemble.parquet,TRUE,0,412.58643984794617,NA
COVIDhub-baseline/2022-02-28-COVIDhub-baseline.parquet,TRUE,0,797.264817237854,NA
COVIDhub-ensemble/2021-12-13-COVIDhub-ensemble.parquet,TRUE,0,113.00021815299988,NA
COVIDhub-trained_ensemble/2022-09-12-COVIDhub-trained_ensemble.parquet,TRUE,0,397.63337111473083,NA
CU-nochange/2022-02-13-CU-nochange.parquet,TRUE,0,574.1061944961548,NA
CU-scenario_low/2020-11-15-CU-scenario_low.parquet,TRUE,0,564.0778429508209,NA
CU-scenario_mid/2021-04-11-CU-scenario_mid.parquet,TRUE,0,539.5995965003967,NA
CU-select/2021-10-24-CU-select.parquet,TRUE,0,532.8334577083588,NA
CUBoulder-COVIDLSTM/2023-01-15-CUBoulder-COVIDLSTM.parquet,TRUE,0,336.7865471839905,NA
epiforecasts-ensemble1/2021-12-27-epiforecasts-ensemble1.parquet,TRUE,0,8.360691547393799,NA
FAIR-NRAR/2021-08-03-FAIR-NRAR.parquet,TRUE,0,347.8642330169678,NA
FRBSF_Wilson-Econometric/2022-03-14-FRBSF_Wilson-Econometric.parquet,TRUE,0,187.69745230674744,NA
GT-DeepCOVID/2020-08-17-GT-DeepCOVID.parquet,TRUE,0,38.17267203330994,NA
HKUST-DNN/2022-07-11-HKUST-DNN.parquet,TRUE,0,5.715829849243164,NA
IHME-CurveFit/2021-06-25-IHME-CurveFit.parquet,TRUE,0,198.0542619228363,NA
JHU_CSSE-DECOM/2021-01-03-JHU_CSSE-DECOM.parquet,TRUE,0,9.235780954360962,NA
JHU_IDD-CovidSP/2023-09-10-JHU_IDD-CovidSP.parquet,TRUE,0,20.143274784088135,NA
JHUAPL-Gecko/2021-08-01-JHUAPL-Gecko.parquet,TRUE,0,54.714081048965454,NA
Karlen-pypm/2021-04-11-Karlen-pypm.parquet,TRUE,0,56.71253705024719,NA
LANL-GrowthRate/2020-07-06-LANL-GrowthRate.parquet,TRUE,0,9.927247524261475,NA
LUcompUncertLab-VAR_3streams/2022-08-01-LUcompUncertLab-VAR_3streams.parquet,TRUE,0,306.17271876335144,NA
MIT_CritData-GBCF/2022-05-15-MIT_CritData-GBCF.parquet,TRUE,0,7.897310018539429,NA
MITCovAlliance-SIR/2020-06-28-MITCovAlliance-SIR.parquet,TRUE,0,7.497888088226318,NA
MOBS-GLEAM_COVID/2023-10-30-MOBS-GLEAM_COVID.parquet,TRUE,0,20.675320863723755,NA
NotreDame-FRED/2020-11-23-NotreDame-FRED.parquet,TRUE,0,4.684420585632324,NA
prolix-euclidean/2022-03-09-prolix-euclidean.parquet,TRUE,0,7.062681674957275,NA
PSI-DRAFT/2021-07-12-PSI-DRAFT.parquet,TRUE,0,10.636300563812256,NA
RobertWalraven-ESG/2020-07-07-RobertWalraven-ESG.parquet,TRUE,0,6.586843252182007,NA
SDSC_ISG-TrendModel/2022-07-10-SDSC_ISG-TrendModel.parquet,TRUE,0,6.06881856918335,NA
SteveMcConnell-CovidComplete/2022-06-13-SteveMcConnell-CovidComplete.parquet,TRUE,0,8.210147142410278,NA
UA-EpiCovDA/2020-05-31-UA-EpiCovDA.parquet,TRUE,0,4.403064250946045,NA
UChicagoCHATTOPADHYAY-UnIT/2021-03-14-UChicagoCHATTOPADHYAY-UnIT.parquet,FALSE,1,186.68444275856018,"?: Required task ID/output type/output type ID combinations missing.  
 See `missing` attribute for details."
UCSD_NEU-DeepGLEAM/2021-10-25-UCSD_NEU-DeepGLEAM.parquet,TRUE,0,7.511465072631836,NA
UMass-MechBayes/2021-07-25-UMass-MechBayes.parquet,TRUE,0,7.7019782066345215,NA
UMass-trends_ensemble/2023-05-22-UMass-trends_ensemble.parquet,TRUE,0,19.283604621887207,NA
USC-SI_kJalpha/2020-08-02-USC-SI_kJalpha.parquet,TRUE,0,121.44280815124512,NA
UT-Osiris/2022-03-21-UT-Osiris.parquet,TRUE,0,33.6623215675354,NA
UVA-Ensemble/2022-06-06-UVA-Ensemble.parquet,TRUE,0,377.05062890052795,NA
YYG-ParamSearch/2020-08-03-YYG-ParamSearch.parquet,TRUE,0,16.59831404685974,NA
