file,ok,n_failed,elapsed_sec,first_error
AIpert-pwllnod/2021-09-20-AIpert-pwllnod.parquet,TRUE,0,18.82370638847351,NA
Caltech-CS156/2020-12-06-Caltech-CS156.parquet,TRUE,0,4.066904067993164,NA
CMU-TimeSeries/2020-08-02-CMU-TimeSeries.parquet,TRUE,0,7.814018726348877,NA
Columbia_UNC-SurvCon/2021-01-24-Columbia_UNC-SurvCon.parquet,TRUE,0,19.63887596130371,NA
COVIDhub_CDC-ensemble/2020-05-25-COVIDhub_CDC-ensemble.parquet,TRUE,0,6.072664976119995,NA
COVIDhub_CDC-ensemble/2024-04-08-COVIDhub_CDC-ensemble.parquet,TRUE,0,27.273584842681885,NA
COVIDhub-4_week_ensemble/2024-01-29-COVIDhub-4_week_ensemble.parquet,TRUE,0,27.690425395965576,NA
COVIDhub-baseline/2023-10-30-COVIDhub-baseline.parquet,TRUE,0,28.13042974472046,NA
COVIDhub-ensemble/2023-08-21-COVIDhub-ensemble.parquet,TRUE,0,15.419453620910645,NA
CU-nochange/2020-04-19-CU-nochange.parquet,TRUE,0,7.1402223110198975,NA
CU-scenario_high/2020-08-30-CU-scenario_high.parquet,TRUE,0,752.9251012802124,NA
CU-scenario_low/2022-06-26-CU-scenario_low.parquet,TRUE,0,764.3651525974274,NA
CU-scenario_mid/2023-01-22-CU-scenario_mid.parquet,TRUE,0,741.2121577262878,NA
CUB_PopCouncil-SLSTM/2022-06-19-CUB_PopCouncil-SLSTM.parquet,TRUE,0,55.20199394226074,NA
DDS-NBDS/2021-08-16-DDS-NBDS.parquet,TRUE,0,10.765198707580566,NA
FAIR-NRAR/2021-03-12-FAIR-NRAR.parquet,TRUE,0,466.6989450454712,NA
FAIR-NRAR/2021-11-30-FAIR-NRAR.parquet,TRUE,0,467.3437237739563,NA
Geneva-DetGrowth/2021-08-29-Geneva-DetGrowth.parquet,TRUE,0,4.5286359786987305,NA
GT-DeepCOVID/2022-04-18-GT-DeepCOVID.parquet,TRUE,0,64.48441290855408,NA
IEM_MED-CovidProject/2021-04-19-IEM_MED-CovidProject.parquet,TRUE,0,17.246726274490356,NA
IowaStateLW-STEM/2020-11-01-IowaStateLW-STEM.parquet,TRUE,0,986.9071042537689,NA
JHU_IDD-CovidSP/2020-11-22-JHU_IDD-CovidSP.parquet,TRUE,0,808.9041509628296,NA
JHUAPL-Bucky/2020-10-12-JHUAPL-Bucky.parquet,TRUE,0,1145.0308928489685,NA
JHUAPL-SLPHospEns/2021-06-14-JHUAPL-SLPHospEns.parquet,TRUE,0,56.01332879066467,NA
Karlen-pypm/2023-02-19-Karlen-pypm.parquet,TRUE,0,63.22858786582947,NA
LANL-GrowthRate/2021-05-17-LANL-GrowthRate.parquet,TRUE,0,801.0356044769287,NA
Microsoft-DeepSTIA/2022-06-27-Microsoft-DeepSTIA.parquet,TRUE,0,119.45500993728638,NA
MIT_ISOLAT-Mixtures/2022-09-12-MIT_ISOLAT-Mixtures.parquet,TRUE,0,10.751404762268066,NA
MOBS-GLEAM_COVID/2021-07-12-MOBS-GLEAM_COVID.parquet,TRUE,0,63.43792748451233,NA
MUNI-ARIMA/2022-06-27-MUNI-ARIMA.parquet,TRUE,0,61.103569984436035,NA
PandemicCentral-COVIDForest/2021-08-08-PandemicCentral-COVIDForest.parquet,TRUE,0,416.914181470871,NA
PSI-DICE/2023-04-17-PSI-DICE.parquet,TRUE,0,27.825868844985962,NA
QJHong-Encounter/2020-07-03-QJHong-Encounter.parquet,FALSE,1,2.753723382949829,"?: Required task ID/output type/output type ID combinations missing.  
 See `missing` attribute for details."
RobertWalraven-ESG/2022-01-31-RobertWalraven-ESG.parquet,TRUE,0,17.601929664611816,NA
SGroup-RandomForest/2024-04-22-SGroup-RandomForest.parquet,TRUE,0,27.022613525390625,NA
TTU-squider/2021-01-10-TTU-squider.parquet,TRUE,0,6.732937574386597,NA
UCF-AEM/2021-02-21-UCF-AEM.parquet,TRUE,0,4.629640579223633,NA
UCM_MESALab-FoGSEIR/2020-12-06-UCM_MESALab-FoGSEIR.parquet,TRUE,0,4.866978883743286,NA
UMass-gbq/2023-05-15-UMass-gbq.parquet,TRUE,0,26.328688621520996,NA
UMass-sarix/2023-06-12-UMass-sarix.parquet,TRUE,0,19.015594244003296,NA
UMich-RidgeTfReg/2021-03-29-UMich-RidgeTfReg.parquet,TRUE,0,16.246832370758057,NA
USC-SI_kJalpha/2022-04-03-USC-SI_kJalpha.parquet,TRUE,0,346.6360366344452,NA
UT-Osiris/2024-01-08-UT-Osiris.parquet,TRUE,0,15.934382677078247,NA
Yu_Group-CLEP/2020-11-17-Yu_Group-CLEP.parquet,TRUE,0,22.948095083236694,NA
