team_model,phase,ok,message
IowaStateLW-STEM,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/IowaStateLW-STEM.yml
IQVIA_ACOE-STAN,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/IQVIA_ACOE-STAN.yml
ISUandPKU-vSEIdR,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/ISUandPKU-vSEIdR.yml
IUPUI-HkPrMobiDyR,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/IUPUI-HkPrMobiDyR.yml
JBUD-HMXK,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/JBUD-HMXK.yml
JCB-PRM,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/JCB-PRM.yml
JHU_CSSE-DECOM,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/JHU_CSSE-DECOM.yml
JHU_IDD-CovidSP,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/JHU_IDD-CovidSP.yml
JHU_UNC_GAS-StatMechPool,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/JHU_UNC_GAS-StatMechPool.yml
JHUAPL-Bucky,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/JHUAPL-Bucky.yml
JHUAPL-Gecko,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/JHUAPL-Gecko.yml
JHUAPL-Morris,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/JHUAPL-Morris.yml
JHUAPL-SLPHospEns,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/JHUAPL-SLPHospEns.yml
JHUAPLTDWG-ICATTML,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/JHUAPLTDWG-ICATTML.yml
Karlen-pypm,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/Karlen-pypm.yml
KITmetricslab-select_ensemble,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/KITmetricslab-select_ensemble.yml
LANL-GrowthRate,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/LANL-GrowthRate.yml
LNQ-ens1,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/LNQ-ens1.yml
LosAlamos_NAU-CModel_SDVaxVar,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/LosAlamos_NAU-CModel_SDVaxVar.yml
LUcompUncertLab-VAR_3streams,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/LUcompUncertLab-VAR_3streams.yml
Microsoft-DeepSTIA,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/Microsoft-DeepSTIA.yml
MIT_CritData-GBCF,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/MIT_CritData-GBCF.yml
MIT_ISOLAT-Mixtures,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/MIT_ISOLAT-Mixtures.yml
MIT-Cassandra,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/MIT-Cassandra.yml
MITCovAlliance-SIR,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/MITCovAlliance-SIR.yml
MOBS-GLEAM_COVID,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/MOBS-GLEAM_COVID.yml
MSRA-DeepST,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/MSRA-DeepST.yml
MUNI-ARIMA,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/MUNI-ARIMA.yml
MUNI-VAR,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/MUNI-VAR.yml
NCSU-COVSIM,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/NCSU-COVSIM.yml
NotreDame-FRED,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/NotreDame-FRED.yml
NotreDame-mobility,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/NotreDame-mobility.yml
OHT_JHU-nbxd,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/OHT_JHU-nbxd.yml
OHT-nbx,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/OHT-nbx.yml
OliverWyman-Navigator,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/OliverWyman-Navigator.yml
OneQuietNight-ML,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/OneQuietNight-ML.yml
PandemicCentral-COVIDForest,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/PandemicCentral-COVIDForest.yml
PandemicCentral-USCounty,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/PandemicCentral-USCounty.yml
PR_UMD-CF_RepTiLe,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/PR_UMD-CF_RepTiLe.yml
prolix-euclidean,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/prolix-euclidean.yml
PSI-DICE,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/PSI-DICE.yml
PSI-DRAFT,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/PSI-DRAFT.yml
QJHong-Encounter,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/QJHong-Encounter.yml
Quantori-Multiagents,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/Quantori-Multiagents.yml
